level,unit,season,metric,variant,group,n,mean,median,sd,ci_lo,ci_hi
site,fmi_100971,DJF,frost_days,value,super,3,60.6667,61.0000,7.5056,42.0218,79.3115
site,fmi_100971,DJF,frost_days,value,elnino,20,70.9000,75.0000,15.0294,63.8987,76.9500
site,fmi_100971,DJF,frost_days,value,neutral,29,74.9310,78.0000,11.3040,70.5164,78.7931
site,fmi_100971,DJF,frost_days,value,lanina,25,71.2400,72.0000,11.0200,66.7600,75.0410
site,fmi_100971,DJF,frost_days,anom,super,3,-6.5333,-6.2000,7.5056,-25.1782,12.1115
site,fmi_100971,DJF,frost_days,anom,elnino,20,3.7000,7.8000,15.0294,-3.2500,9.6500
site,fmi_100971,DJF,frost_days,anom,neutral,29,7.7310,10.8000,11.3040,3.6957,11.5586
site,fmi_100971,DJF,frost_days,anom,lanina,25,4.0400,4.8000,11.0200,-0.3600,8.0000
site,fmi_100971,DJF,frost_days,anom_dt,super,3,-9.0123,-12.2440,6.1662,-24.3301,6.3054
site,fmi_100971,DJF,frost_days,anom_dt,elnino,20,-0.7620,1.5385,13.6002,-6.7890,4.7363
site,fmi_100971,DJF,frost_days,anom_dt,neutral,29,1.6563,3.8760,10.3020,-1.9284,5.2272
site,fmi_100971,DJF,frost_days,anom_dt,lanina,25,-0.2302,0.5500,10.7659,-4.5050,3.8053
site,fmi_100971,DJF,ice_days,value,super,3,29.3333,28.0000,4.1633,18.9910,39.6756
site,fmi_100971,DJF,ice_days,value,elnino,20,42.2000,42.0000,20.4749,33.4500,51.3000
site,fmi_100971,DJF,ice_days,value,neutral,29,47.3103,47.0000,18.3539,40.7241,53.9310
site,fmi_100971,DJF,ice_days,value,lanina,25,41.6000,40.0000,16.5151,35.2400,48.0800
site,fmi_100971,DJF,ice_days,anom,super,3,-7.1667,-8.5000,4.1633,-17.5090,3.1756
site,fmi_100971,DJF,ice_days,anom,elnino,20,5.7000,5.5000,20.4749,-3.0525,14.1513
site,fmi_100971,DJF,ice_days,anom,neutral,29,10.8103,10.5000,18.3539,4.1897,17.5698
site,fmi_100971,DJF,ice_days,anom,lanina,25,5.1000,3.5000,16.5151,-1.3410,11.6610
site,fmi_100971,DJF,ice_days,anom_dt,super,3,-11.2913,-8.2910,6.4573,-27.3323,4.7496
site,fmi_100971,DJF,ice_days,anom_dt,elnino,20,-0.6933,-3.8305,19.2809,-8.8308,7.6609
site,fmi_100971,DJF,ice_days,anom_dt,neutral,29,2.5721,-1.2130,17.6450,-4.0029,8.8109
site,fmi_100971,DJF,ice_days,anom_dt,lanina,25,-1.0740,-0.0760,16.0419,-7.2281,5.0904
site,fmi_100971,DJF,precip,value,super,3,152.8333,157.8000,25.7123,88.9604,216.7063
site,fmi_100971,DJF,precip,value,elnino,20,138.6150,145.0000,40.3860,120.8134,155.8051
site,fmi_100971,DJF,precip,value,neutral,29,143.0483,148.0000,46.8228,126.7944,159.7873
site,fmi_100971,DJF,precip,value,lanina,25,165.3160,173.1000,51.0291,145.2476,183.8446
site,fmi_100971,DJF,precip,anom,super,3,4.0903,9.0570,25.7123,-59.7826,67.9633
site,fmi_100971,DJF,precip,anom,elnino,20,-10.1280,-3.7430,40.3860,-28.2286,6.8370
site,fmi_100971,DJF,precip,anom,neutral,29,-5.6947,-0.7430,46.8228,-22.5189,10.8711
site,fmi_100971,DJF,precip,anom,lanina,25,16.5730,24.3570,51.0291,-3.0176,35.7060
site,fmi_100971,DJF,precip,anom_dt,super,3,2.2650,8.7740,25.1231,-60.1441,64.6741
site,fmi_100971,DJF,precip,anom_dt,elnino,20,-11.0952,-2.0015,39.5249,-27.8595,5.4347
site,fmi_100971,DJF,precip,anom_dt,neutral,29,-5.9643,-5.0740,47.4815,-22.6188,11.6481
site,fmi_100971,DJF,precip,anom_dt,lanina,25,15.5229,24.3310,50.8678,-5.0329,34.8246
site,fmi_100971,DJF,precip_days,value,super,3,36.0000,33.0000,7.0000,18.6110,53.3890
site,fmi_100971,DJF,precip_days,value,elnino,20,30.6000,32.0000,7.2140,27.4500,33.7000
site,fmi_100971,DJF,precip_days,value,neutral,29,30.1724,31.0000,7.6489,27.5862,32.8966
site,fmi_100971,DJF,precip_days,value,lanina,25,33.2400,35.0000,9.1982,29.7200,36.7200
site,fmi_100971,DJF,precip_days,anom,super,3,4.6000,1.6000,7.0000,-12.7890,21.9890
site,fmi_100971,DJF,precip_days,anom,elnino,20,-0.8000,0.6000,7.2140,-3.9500,2.3500
site,fmi_100971,DJF,precip_days,anom,neutral,29,-1.2276,-0.4000,7.6489,-3.9517,1.4966
site,fmi_100971,DJF,precip_days,anom,lanina,25,1.8400,3.6000,9.1982,-1.8000,5.2010
site,fmi_100971,DJF,precip_days,anom_dt,super,3,4.6450,1.6310,7.2157,-13.2797,22.5697
site,fmi_100971,DJF,precip_days,anom_dt,elnino,20,-0.8775,0.8655,7.2696,-4.1770,2.1406
site,fmi_100971,DJF,precip_days,anom_dt,neutral,29,-1.4049,-0.6030,7.5537,-4.0933,1.3833
site,fmi_100971,DJF,precip_days,anom_dt,lanina,25,1.7743,3.2590,9.1970,-1.9311,5.2307
site,fmi_100971,DJF,rain_on_snow_days,value,super,3,11.0000,10.0000,2.6458,4.4276,17.5724
site,fmi_100971,DJF,rain_on_snow_days,value,elnino,20,4.7539,3.0000,4.4136,2.9500,6.8001
site,fmi_100971,DJF,rain_on_snow_days,value,neutral,29,5.3836,5.0560,4.2965,3.8682,6.9072
site,fmi_100971,DJF,rain_on_snow_days,value,lanina,25,5.9600,5.0000,3.6570,4.6000,7.4400
site,fmi_100971,DJF,rain_on_snow_days,anom,super,3,4.9270,3.9270,2.6458,-1.6454,11.4994
site,fmi_100971,DJF,rain_on_snow_days,anom,elnino,20,-1.3191,-3.0730,4.4135,-3.1691,0.6809
site,fmi_100971,DJF,rain_on_snow_days,anom,neutral,29,-0.6894,-1.0170,4.2965,-2.1381,0.9010
site,fmi_100971,DJF,rain_on_snow_days,anom,lanina,25,-0.1130,-1.0730,3.6570,-1.3940,1.4070
site,fmi_100971,DJF,rain_on_snow_days,anom_dt,super,3,5.0857,3.6400,2.6218,-1.4271,11.5985
site,fmi_100971,DJF,rain_on_snow_days,anom_dt,elnino,20,-0.9272,-2.2180,4.2662,-2.6606,0.9772
site,fmi_100971,DJF,rain_on_snow_days,anom_dt,neutral,29,-0.1077,-0.5740,4.4343,-1.6270,1.5199
site,fmi_100971,DJF,rain_on_snow_days,anom_dt,lanina,25,0.2564,-0.3110,3.5076,-1.0362,1.6048
site,fmi_100971,DJF,snow_cover_days,value,super,3,62.3333,58.0000,14.0119,27.5258,97.1408
site,fmi_100971,DJF,snow_cover_days,value,elnino,20,65.1281,70.5000,21.0377,55.7062,73.5500
site,fmi_100971,DJF,snow_cover_days,value,neutral,29,71.9132,78.0000,18.9859,64.9281,78.2418
site,fmi_100971,DJF,snow_cover_days,value,lanina,25,68.4400,70.0000,17.1976,61.5600,74.9600
site,fmi_100971,DJF,snow_cover_days,anom,super,3,0.6653,-3.6680,14.0119,-34.1422,35.4728
site,fmi_100971,DJF,snow_cover_days,anom,elnino,20,3.4601,8.8320,21.0377,-6.1842,12.0606
site,fmi_100971,DJF,snow_cover_days,anom,neutral,29,10.2452,16.3320,18.9859,2.9004,16.8841
site,fmi_100971,DJF,snow_cover_days,anom,lanina,25,6.7720,8.3320,17.1976,-0.4290,13.0930
site,fmi_100971,DJF,snow_cover_days,anom_dt,super,3,-3.3793,-10.1730,13.3670,-36.5847,29.8260
site,fmi_100971,DJF,snow_cover_days,anom_dt,elnino,20,-2.9610,-0.6865,21.1690,-12.5916,6.0271
site,fmi_100971,DJF,snow_cover_days,anom_dt,neutral,29,1.8912,5.6060,17.6232,-4.7579,7.9675
site,fmi_100971,DJF,snow_cover_days,anom_dt,lanina,25,0.5805,4.1460,15.9015,-5.5823,6.3961
site,fmi_100971,DJF,snow_depth,value,super,3,7.2883,7.4110,1.0454,4.6914,9.8853
site,fmi_100971,DJF,snow_depth,value,elnino,20,15.4220,13.9390,12.7997,10.5411,21.2305
site,fmi_100971,DJF,snow_depth,value,neutral,29,18.5875,18.0670,12.1345,14.4165,23.0719
site,fmi_100971,DJF,snow_depth,value,lanina,25,15.0702,12.1560,10.6430,11.4639,19.4839
site,fmi_100971,DJF,snow_depth,anom,super,3,-4.8073,-4.6840,1.0455,-7.4044,-2.2102
site,fmi_100971,DJF,snow_depth,anom,elnino,20,3.3263,1.8435,12.7997,-1.6874,9.2675
site,fmi_100971,DJF,snow_depth,anom,neutral,29,6.4918,5.9710,12.1344,2.3189,11.1457
site,fmi_100971,DJF,snow_depth,anom,lanina,25,2.9746,0.0600,10.6429,-0.7479,7.5131
site,fmi_100971,DJF,snow_depth,anom_dt,super,3,-7.1193,-6.3020,2.1697,-12.5092,-1.7295
site,fmi_100971,DJF,snow_depth,anom_dt,elnino,20,-0.4220,-2.6995,12.5006,-5.4060,5.4384
site,fmi_100971,DJF,snow_depth,anom_dt,neutral,29,1.5751,-0.3320,11.4168,-2.4684,5.7226
site,fmi_100971,DJF,snow_depth,anom_dt,lanina,25,-0.6351,-2.3790,10.3026,-4.2554,3.6575
site,fmi_100971,DJF,snow_max,value,super,3,23.0000,19.0000,7.8102,3.5983,42.4017
site,fmi_100971,DJF,snow_max,value,elnino,20,36.1500,29.5000,21.0720,27.4488,45.7500
site,fmi_100971,DJF,snow_max,value,neutral,29,39.5862,40.0000,18.0822,33.1379,45.8966
site,fmi_100971,DJF,snow_max,value,lanina,25,37.6800,35.0000,16.6851,31.4800,44.1610
site,fmi_100971,DJF,snow_max,anom,super,3,-7.3330,-11.3330,7.8102,-26.7347,12.0687
site,fmi_100971,DJF,snow_max,anom,elnino,20,5.8170,-0.8330,21.0720,-2.9330,14.9183
site,fmi_100971,DJF,snow_max,anom,neutral,29,9.2532,9.6670,18.0822,2.8386,16.0118
site,fmi_100971,DJF,snow_max,anom,lanina,25,7.3470,4.6670,16.6851,1.5070,13.7080
site,fmi_100971,DJF,snow_max,anom_dt,super,3,-11.4557,-15.7260,12.0415,-41.3683,18.4570
site,fmi_100971,DJF,snow_max,anom_dt,elnino,20,-0.7110,-7.3605,20.6880,-8.8828,8.5499
site,fmi_100971,DJF,snow_max,anom_dt,neutral,29,0.7689,-0.9690,16.4938,-5.1584,6.8052
site,fmi_100971,DJF,snow_max,anom_dt,lanina,25,1.0515,-4.2130,15.7087,-4.9202,6.9555
