level,unit,season,metric,variant,g1,g2,n1,n2,diff,ci_lo,ci_hi,p_perm,p_welch,p_mwu,cohen_d
site,fmi_100971,DJF,frost_days,value,super,elnino,3,20,-10.2333,-24.3805,3.9138,0.2715,0.1217,0.1316,-0.7066
site,fmi_100971,DJF,frost_days,value,super,neutral,3,29,-14.2644,-29.4833,0.9546,0.0328,0.0585,0.0482,-1.2861
site,fmi_100971,DJF,frost_days,value,elnino,neutral,20,29,-4.0310,-11.7673,3.3415,0.3083,0.3163,0.3868,-0.3115
site,fmi_100971,DJF,frost_days,value,super,lanina,3,25,-10.5733,-25.6340,4.4874,0.1324,0.1136,0.0578,-0.9799
site,fmi_100971,DJF,frost_days,value,lanina,neutral,25,29,-3.6910,-9.8376,2.1289,0.2402,0.2308,0.1753,-0.3303
site,fmi_100971,DJF,frost_days,anom,super,elnino,3,20,-10.2333,-24.3805,3.9138,0.2587,0.1217,0.1316,-0.7066
site,fmi_100971,DJF,frost_days,anom,super,neutral,3,29,-14.2644,-29.4833,0.9546,0.0374,0.0585,0.0482,-1.2861
site,fmi_100971,DJF,frost_days,anom,elnino,neutral,20,29,-4.0310,-11.6984,3.3194,0.2941,0.3163,0.3868,-0.3115
site,fmi_100971,DJF,frost_days,anom,super,lanina,3,25,-10.5733,-25.6340,4.4874,0.1220,0.1136,0.0578,-0.9799
site,fmi_100971,DJF,frost_days,anom,lanina,neutral,25,29,-3.6910,-9.5175,2.0548,0.2356,0.2308,0.1753,-0.3303
site,fmi_100971,DJF,frost_days,anom_dt,super,elnino,3,20,-8.2504,-19.8728,3.3720,0.3187,0.1314,0.1660,-0.6310
site,fmi_100971,DJF,frost_days,anom_dt,super,neutral,3,29,-10.6686,-22.8898,1.5525,0.0898,0.0703,0.0496,-1.0585
site,fmi_100971,DJF,frost_days,anom_dt,elnino,neutral,20,29,-2.4183,-9.2983,4.2130,0.4897,0.5055,0.6472,-0.2059
site,fmi_100971,DJF,frost_days,anom_dt,super,lanina,3,25,-8.7821,-20.7271,3.1629,0.1796,0.1082,0.0897,-0.8377
site,fmi_100971,DJF,frost_days,anom_dt,lanina,neutral,25,29,-1.8866,-7.4993,3.6495,0.5325,0.5155,0.3579,-0.1794
site,fmi_100971,DJF,ice_days,value,super,elnino,3,20,-12.8667,-23.7323,-2.0010,0.3083,0.0229,0.3141,-0.6592
site,fmi_100971,DJF,ice_days,value,super,neutral,3,29,-17.9770,-26.9182,-9.0359,0.1120,0.0007,0.1130,-1.0120
site,fmi_100971,DJF,ice_days,value,elnino,neutral,20,29,-5.1103,-16.0432,5.7331,0.3755,0.3762,0.5550,-0.2656
site,fmi_100971,DJF,ice_days,value,super,lanina,3,25,-12.2667,-21.1015,-3.4318,0.2240,0.0103,0.1473,-0.7710
site,fmi_100971,DJF,ice_days,value,lanina,neutral,25,29,-5.7103,-14.7379,3.4090,0.2212,0.2344,0.3018,-0.3258
site,fmi_100971,DJF,ice_days,anom,super,elnino,3,20,-12.8667,-23.7323,-2.0010,0.3269,0.0229,0.3141,-0.6592
site,fmi_100971,DJF,ice_days,anom,super,neutral,3,29,-17.9770,-26.9182,-9.0359,0.1098,0.0007,0.1130,-1.0120
site,fmi_100971,DJF,ice_days,anom,elnino,neutral,20,29,-5.1103,-15.9345,5.9560,0.3629,0.3762,0.5550,-0.2656
site,fmi_100971,DJF,ice_days,anom,super,lanina,3,25,-12.2667,-21.1015,-3.4318,0.2208,0.0103,0.1473,-0.7710
site,fmi_100971,DJF,ice_days,anom,lanina,neutral,25,29,-5.7103,-14.9376,3.0430,0.2314,0.2344,0.3018,-0.3258
site,fmi_100971,DJF,ice_days,anom_dt,super,elnino,3,20,-10.5980,-23.4501,2.2540,0.3825,0.0952,0.3546,-0.5745
site,fmi_100971,DJF,ice_days,anom_dt,super,neutral,3,29,-13.8634,-25.9956,-1.7313,0.1936,0.0313,0.2073,-0.8094
site,fmi_100971,DJF,ice_days,anom_dt,elnino,neutral,20,29,-3.2654,-13.4010,7.0982,0.5475,0.5500,0.5085,-0.1782
site,fmi_100971,DJF,ice_days,anom_dt,super,lanina,3,25,-10.2173,-22.3569,1.9223,0.2949,0.0847,0.1917,-0.6585
site,fmi_100971,DJF,ice_days,anom_dt,lanina,neutral,25,29,-3.6461,-12.4941,5.2868,0.4229,0.4302,0.5437,-0.2154
site,fmi_100971,DJF,precip,value,super,elnino,3,20,14.2183,-35.6032,64.0399,0.5793,0.4626,0.6979,0.3625
site,fmi_100971,DJF,precip,value,super,neutral,3,29,9.7851,-40.2898,59.8599,0.7169,0.6033,0.6508,0.2140
site,fmi_100971,DJF,precip,value,elnino,neutral,20,29,-4.4333,-29.2131,19.1252,0.7431,0.7253,0.8150,-0.1000
site,fmi_100971,DJF,precip,value,super,lanina,3,25,-12.4827,-61.3265,36.3612,0.6931,0.5243,0.4138,-0.2520
site,fmi_100971,DJF,precip,value,lanina,neutral,25,29,22.2677,-4.4674,47.5554,0.0980,0.1031,0.0225,0.4562
site,fmi_100971,DJF,precip,anom,super,elnino,3,20,14.2183,-35.6032,64.0399,0.5713,0.4626,0.6979,0.3625
site,fmi_100971,DJF,precip,anom,super,neutral,3,29,9.7851,-40.2898,59.8599,0.7097,0.6033,0.6508,0.2140
site,fmi_100971,DJF,precip,anom,elnino,neutral,20,29,-4.4333,-28.7834,19.9070,0.7343,0.7253,0.8150,-0.1000
site,fmi_100971,DJF,precip,anom,super,lanina,3,25,-12.4827,-61.3265,36.3612,0.6919,0.5243,0.4138,-0.2520
site,fmi_100971,DJF,precip,anom,lanina,neutral,25,29,22.2677,-4.3771,47.2762,0.0988,0.1031,0.0225,0.4562
site,fmi_100971,DJF,precip,anom_dt,super,elnino,3,20,13.3601,-35.3058,62.0261,0.5809,0.4788,0.6347,0.3480
site,fmi_100971,DJF,precip,anom_dt,super,neutral,3,29,8.2293,-40.3605,56.8192,0.7620,0.6550,0.6685,0.1776
