country,winter,season,metric,value,anom,anom_dt,n_sites,group,oni_djf
DK,1950,DJF,frost_days,41.436,2.632,-14.484,2,lanina,-1.320
DK,1950,DJF,ice_days,9.263,-0.916,-8.852,2,lanina,-1.320
DK,1950,DJF,precip,211.350,19.147,41.647,2,lanina,-1.320
DK,1950,DJF,precip_days,40.500,3.700,6.970,2,lanina,-1.320
DK,1950,DJF,thaw_days,80.737,1.183,9.079,2,lanina,-1.320
DK,1950,DJF,tmax_mean,4.359,0.377,1.758,2,lanina,-1.320
DK,1950,DJF,tmin_mean,-0.370,-0.550,1.508,2,lanina,-1.320
DK,1950,JFM,frost_days,46.853,7.779,-12.666,2,lanina,-1.320
DK,1950,JFM,ice_days,9.044,1.359,-7.968,2,lanina,-1.320
DK,1950,JFM,precip,153.900,-25.370,13.620,2,lanina,-1.320
DK,1950,JFM,precip_days,30.000,-0.967,1.964,2,lanina,-1.320
DK,1950,JFM,thaw_days,80.956,-1.198,8.236,2,lanina,-1.320
DK,1950,JFM,tmax_mean,4.803,0.108,2.075,2,lanina,-1.320
DK,1950,JFM,tmin_mean,-0.625,-0.714,1.494,2,lanina,-1.320
DK,1950,NDJFM,frost_days,52.837,-1.575,-26.384,2,lanina,-1.320
DK,1950,NDJFM,ice_days,9.076,-2.021,-10.878,2,lanina,-1.320
DK,1950,NDJFM,precip,309.700,-15.330,23.152,2,lanina,-1.320
DK,1950,NDJFM,precip_days,61.000,6.167,6.673,2,lanina,-1.320
DK,1950,NDJFM,thaw_days,141.923,2.336,11.262,2,lanina,-1.320
DK,1950,NDJFM,tmax_mean,5.812,0.534,1.857,2,lanina,-1.320
DK,1950,NDJFM,tmin_mean,0.840,-0.173,1.586,2,lanina,-1.320
DK,1951,DJF,frost_days,55.095,16.291,-0.520,2,lanina,-0.660
DK,1951,DJF,ice_days,7.136,-2.659,-10.845,2,lanina,-0.660
DK,1951,DJF,precip,225.250,51.647,55.445,2,lanina,-0.660
DK,1951,DJF,precip_days,44.500,4.700,10.977,2,lanina,-0.660
DK,1951,DJF,thaw_days,80.841,-1.119,9.059,2,lanina,-0.660
DK,1951,DJF,tmax_mean,2.304,-2.232,-0.326,2,lanina,-0.660
DK,1951,DJF,tmean,0.592,,0.050,2,lanina,-0.660
DK,1951,DJF,tmin_mean,-1.179,-1.360,0.662,2,lanina,-0.660
DK,1951,JFM,frost_days,63.209,24.135,4.066,2,lanina,-0.660
DK,1951,JFM,ice_days,7.188,-0.025,-9.661,2,lanina,-0.660
DK,1951,JFM,precip,238.950,80.130,98.439,2,lanina,-0.660
DK,1951,JFM,precip_days,39.000,6.033,10.904,2,lanina,-0.660
DK,1951,JFM,thaw_days,81.278,-2.882,8.397,2,lanina,-0.660
DK,1951,JFM,tmax_mean,2.527,-2.345,-0.239,2,lanina,-0.660
DK,1951,JFM,tmean,0.570,-2.036,0.243,2,lanina,-0.660
DK,1951,JFM,tmin_mean,-1.406,-1.495,0.673,2,lanina,-0.660
DK,1951,NDJFM,frost_days,86.617,32.203,7.848,2,lanina,-0.660
