sign,start,end,peak,peak_seas,first,last
-1,0,12,-1.32,DJF 1950,DJF 1950,DJF 1951
1,17,24,1.03,SON 1951,MJJ 1951,DJF 1952
1,39,47,0.78,SON 1953,MAM 1953,NDJ 1953
-1,62,75,-1.59,OND 1955,FMA 1955,MAM 1956
1,87,100,1.69,DJF 1958,MAM 1957,AMJ 1958
1,162,169,1.19,OND 1963,JJA 1963,JFM 1964
-1,172,180,-0.8,SON 1964,AMJ 1964,DJF 1965
1,185,194,1.82,OND 1965,MJJ 1965,FMA 1966
1,225,232,0.98,DJF 1969,SON 1968,AMJ 1969
-1,246,264,-1.36,JFM 1971,JJA 1970,DJF 1972
1,269,278,1.84,OND 1972,MJJ 1972,FMA 1973
-1,280,293,-2.04,NDJ 1973,AMJ 1973,MJJ 1974
-1,297,314,-1.58,NDJ 1975,SON 1974,FMA 1976
1,320,325,0.84,NDJ 1976,ASO 1976,JFM 1977
1,333,337,0.84,OND 1977,SON 1977,JFM 1978
1,388,401,2.14,DJF 1983,AMJ 1982,MJJ 1983
-1,405,409,-0.96,OND 1983,SON 1983,JFM 1984
-1,417,425,-1.06,NDJ 1984,SON 1984,MJJ 1985
1,440,456,1.49,ASO 1987,ASO 1986,DJF 1988
-1,460,472,-1.85,NDJ 1988,AMJ 1988,AMJ 1989
1,497,509,1.54,DJF 1992,MJJ 1991,MJJ 1992
1,537,541,0.97,NDJ 1994,SON 1994,JFM 1995
-1,547,554,-1.05,OND 1995,JAS 1995,FMA 1996
1,568,579,2.37,NDJ 1997,AMJ 1997,MAM 1998
-1,582,605,-1.53,NDJ 1999,JJA 1998,MJJ 2000
-1,609,613,-0.78,NDJ 2000,SON 2000,JFM 2001
1,630,637,1.19,OND 2002,JJA 2002,JFM 2003
1,655,661,0.71,NDJ 2004,JAS 2004,JFM 2005
-1,670,674,-0.86,DJF 2006,OND 2005,FMA 2006
1,680,684,0.88,OND 2006,ASO 2006,DJF 2007
-1,691,701,-1.76,DJF 2008,JAS 2007,MJJ 2008
-1,706,710,-0.89,DJF 2009,OND 2008,FMA 2009
1,714,722,1.5,NDJ 2009,JJA 2009,FMA 2010
-1,725,736,-1.57,OND 2010,MJJ 2010,AMJ 2011
-1,739,745,-1.02,OND 2011,JAS 2011,JFM 2012
1,777,796,2.59,NDJ 2015,SON 2014,AMJ 2016
-1,814,818,-0.76,NDJ 2017,OND 2017,FMA 2018
1,824,833,1.05,NDJ 2018,ASO 2018,MJJ 2019
1,837,842,0.75,NDJ 2019,SON 2019,FMA 2020
-1,848,855,-1.11,OND 2020,ASO 2020,MAM 2021
-1,860,876,-0.91,OND 2021,ASO 2021,DJF 2023
1,881,891,1.99,NDJ 2023,MJJ 2023,MAM 2024
