winter,label,oni_djf,group,event_peak,event_span
1950,1949/50,-1.32,lanina,-1.32,DJF 1950 – DJF 1951
1951,1950/51,-0.66,lanina,-1.32,DJF 1950 – DJF 1951
1952,1951/52,0.52,elnino,1.03,MJJ 1951 – DJF 1952
1953,1952/53,0.25,neutral,,
1954,1953/54,0.41,neutral,,
1955,1954/55,-0.5,neutral,,
1956,1955/56,-1.17,lanina,-1.59,FMA 1955 – MAM 1956
1957,1956/57,-0.27,neutral,,
1958,1957/58,1.69,elnino,1.69,MAM 1957 – AMJ 1958
1959,1958/59,0.6,neutral,,
1960,1959/60,0.02,neutral,,
1961,1960/61,0.0,neutral,,
1962,1961/62,-0.16,neutral,,
1963,1962/63,-0.33,neutral,,
1964,1963/64,0.95,elnino,1.19,JJA 1963 – JFM 1964
1965,1964/65,-0.51,lanina,-0.8,AMJ 1964 – DJF 1965
1966,1965/66,1.24,elnino,1.82,MJJ 1965 – FMA 1966
1967,1966/67,-0.46,neutral,,
1968,1967/68,-0.62,neutral,,
1969,1968/69,0.98,elnino,0.98,SON 1968 – AMJ 1969
1970,1969/70,0.46,neutral,,
1971,1970/71,-1.29,lanina,-1.36,JJA 1970 – DJF 1972
1972,1971/72,-0.57,lanina,-1.36,JJA 1970 – DJF 1972
1973,1972/73,1.55,elnino,1.84,MJJ 1972 – FMA 1973
1974,1973/74,-1.87,lanina,-2.04,AMJ 1973 – MJJ 1974
1975,1974/75,-0.56,lanina,-1.58,SON 1974 – FMA 1976
1976,1975/76,-1.49,lanina,-1.58,SON 1974 – FMA 1976
1977,1976/77,0.71,elnino,0.84,ASO 1976 – JFM 1977
1978,1977/78,0.71,elnino,0.84,SON 1977 – JFM 1978
1979,1978/79,0.19,neutral,,
1980,1979/80,0.62,neutral,,
1981,1980/81,-0.27,neutral,,
1982,1981/82,-0.05,neutral,,
1983,1982/83,2.14,super,2.14,AMJ 1982 – MJJ 1983
1984,1983/84,-0.63,lanina,-0.96,SON 1983 – JFM 1984
1985,1984/85,-1.01,lanina,-1.06,SON 1984 – MJJ 1985
1986,1985/86,-0.4,neutral,,
1987,1986/87,1.18,elnino,1.49,ASO 1986 – DJF 1988
1988,1987/88,0.63,elnino,1.49,ASO 1986 – DJF 1988
1989,1988/89,-1.64,lanina,-1.85,AMJ 1988 – AMJ 1989
1990,1989/90,0.18,neutral,,
1991,1990/91,0.35,neutral,,
1992,1991/92,1.54,elnino,1.54,MJJ 1991 – MJJ 1992
1993,1992/93,0.13,neutral,,
1994,1993/94,0.07,neutral,,
1995,1994/95,0.88,elnino,0.97,SON 1994 – JFM 1995
1996,1995/96,-0.88,lanina,-1.05,JAS 1995 – FMA 1996
1997,1996/97,-0.41,neutral,,
1998,1997/98,2.22,super,2.37,AMJ 1997 – MAM 1998
1999,1998/99,-1.51,lanina,-1.53,JJA 1998 – MJJ 2000
2000,1999/00,-1.47,lanina,-1.53,JJA 1998 – MJJ 2000
2001,2000/01,-0.76,lanina,-0.78,SON 2000 – JFM 2001
2002,2001/02,-0.15,neutral,,
2003,2002/03,0.9,elnino,1.19,JJA 2002 – JFM 2003
2004,2003/04,0.34,neutral,,
2005,2004/05,0.62,elnino,0.71,JAS 2004 – JFM 2005
2006,2005/06,-0.86,lanina,-0.86,OND 2005 – FMA 2006
2007,2006/07,0.62,elnino,0.88,ASO 2006 – DJF 2007
2008,2007/08,-1.76,lanina,-1.76,JAS 2007 – MJJ 2008
2009,2008/09,-0.89,lanina,-0.89,OND 2008 – FMA 2009
2010,2009/10,1.47,elnino,1.5,JJA 2009 – FMA 2010
2011,2010/11,-1.29,lanina,-1.57,MJJ 2010 – AMJ 2011
2012,2011/12,-0.71,lanina,-1.02,JAS 2011 – JFM 2012
2013,2012/13,-0.24,neutral,,
2014,2013/14,-0.24,neutral,,
2015,2014/15,0.73,elnino,2.59,SON 2014 – AMJ 2016
2016,2015/16,2.5,super,2.59,SON 2014 – AMJ 2016
2017,2016/17,-0.08,neutral,,
2018,2017/18,-0.71,lanina,-0.76,OND 2017 – FMA 2018
2019,2018/19,0.99,elnino,1.05,ASO 2018 – MJJ 2019
2020,2019/20,0.71,elnino,0.75,SON 2019 – FMA 2020
2021,2020/21,-0.99,lanina,-1.11,ASO 2020 – MAM 2021
2022,2021/22,-0.76,lanina,-0.91,ASO 2021 – DJF 2023
2023,2022/23,-0.55,lanina,-0.91,ASO 2021 – DJF 2023
2024,2023/24,1.84,elnino,1.99,MJJ 2023 – MAM 2024
2025,2024/25,-0.46,neutral,,
2026,2025/26,-0.39,neutral,,
