seas,year,total,anom,seas_idx
DJF,1950,25.01,-1.32,0
JFM,1950,25.36,-1.2,1
FMA,1950,25.88,-1.12,2
MAM,1950,26.24,-1.08,3
AMJ,1950,26.35,-1.1,4
MJJ,1950,26.32,-0.9,5
JJA,1950,26.24,-0.62,6
JAS,1950,25.94,-0.57,7
ASO,1950,25.76,-0.56,8
SON,1950,25.6,-0.62,9
OND,1950,25.55,-0.66,10
NDJ,1950,25.41,-0.79,11
DJF,1951,25.67,-0.66,0
JFM,1951,26.2,-0.36,1
FMA,1951,26.96,-0.04,2
MAM,1951,27.48,0.16,3
AMJ,1951,27.72,0.27,4
MJJ,1951,27.72,0.5,5
JJA,1951,27.57,0.71,6
JAS,1951,27.41,0.9,7
ASO,1951,27.34,1.02,8
SON,1951,27.25,1.03,9
OND,1951,27.18,0.96,10
NDJ,1951,26.91,0.71,11
DJF,1952,26.86,0.52,0
JFM,1952,26.82,0.27,1
FMA,1952,27.33,0.33,2
MAM,1952,27.5,0.18,3
AMJ,1952,27.38,-0.07,4
MJJ,1952,26.78,-0.44,5
JJA,1952,26.41,-0.45,6
JAS,1952,26.31,-0.2,7
ASO,1952,26.35,0.03,8
SON,1952,26.26,0.04,9
OND,1952,26.11,-0.11,10
NDJ,1952,26.25,0.06,11
DJF,1953,26.58,0.25,0
JFM,1953,27.06,0.5,1
FMA,1953,27.48,0.48,2
MAM,1953,27.88,0.56,3
AMJ,1953,28.22,0.77,4
MJJ,1953,27.96,0.74,5
JJA,1953,27.49,0.63,6
JAS,1953,27.19,0.68,7
ASO,1953,26.91,0.59,8
SON,1953,27.0,0.78,9
OND,1953,26.74,0.52,10
NDJ,1953,26.76,0.56,11
DJF,1954,26.74,0.41,0
JFM,1954,26.91,0.35,1
FMA,1954,27.01,0.01,2
MAM,1954,27.04,-0.27,3
AMJ,1954,26.97,-0.48,4
MJJ,1954,26.74,-0.48,5
JJA,1954,26.18,-0.67,6
JAS,1954,25.68,-0.83,7
ASO,1954,25.58,-0.73,8
SON,1954,25.7,-0.52,9
OND,1954,25.82,-0.4,10
NDJ,1954,25.76,-0.44,11
DJF,1955,25.83,-0.5,0
JFM,1955,26.08,-0.48,1
FMA,1955,26.42,-0.58,2
MAM,1955,26.56,-0.76,3
AMJ,1955,26.67,-0.78,4
MJJ,1955,26.34,-0.88,5
JJA,1955,26.13,-0.72,6
JAS,1955,25.59,-0.92,7
ASO,1955,25.21,-1.11,8
SON,1955,24.78,-1.44,9
OND,1955,24.63,-1.59,10
NDJ,1955,24.73,-1.51,11
DJF,1956,25.2,-1.17,0
JFM,1956,25.82,-0.81,1
FMA,1956,26.47,-0.57,2
MAM,1956,26.84,-0.51,3
AMJ,1956,27.0,-0.49,4
MJJ,1956,26.81,-0.47,5
JJA,1956,26.37,-0.55,6
JAS,1956,26.02,-0.52,7
ASO,1956,25.9,-0.43,8
SON,1956,25.85,-0.39,9
OND,1956,25.87,-0.37,10
NDJ,1956,25.87,-0.39,11
DJF,1957,26.11,-0.27,0
JFM,1957,26.57,-0.06,1
FMA,1957,27.3,0.26,2
MAM,1957,27.99,0.63,3
AMJ,1957,28.21,0.72,4
MJJ,1957,28.09,0.82,5
JJA,1957,27.88,0.96,6
JAS,1957,27.57,1.03,7
ASO,1957,27.45,1.12,8
SON,1957,27.38,1.15,9
OND,1957,27.63,1.39,10
NDJ,1957,27.87,1.62,11
DJF,1958,28.07,1.69,0
JFM,1958,28.21,1.59,1
FMA,1958,28.21,1.17,2
MAM,1958,28.2,0.84,3
AMJ,1958,28.06,0.57,4
MJJ,1958,27.77,0.49,5
JJA,1958,27.36,0.43,6
JAS,1958,26.86,0.32,7
ASO,1958,26.61,0.28,8
SON,1958,26.53,0.3,9
OND,1958,26.6,0.36,10
NDJ,1958,26.82,0.56,11
DJF,1959,26.99,0.6,0
JFM,1959,27.27,0.64,1
FMA,1959,27.51,0.48,2
MAM,1959,27.75,0.39,3
AMJ,1959,27.73,0.24,4
MJJ,1959,27.29,0.02,5
JJA,1959,26.74,-0.19,6
JAS,1959,26.31,-0.23,7
ASO,1959,26.29,-0.04,8
SON,1959,26.34,0.11,9
OND,1959,26.47,0.23,10
NDJ,1959,26.4,0.14,11
DJF,1960,26.4,0.02,0
JFM,1960,26.65,0.03,1
FMA,1960,27.1,0.06,2
MAM,1960,27.52,0.17,3
AMJ,1960,27.53,0.04,4
MJJ,1960,27.27,0.0,5
JJA,1960,26.93,0.01,6
JAS,1960,26.69,0.15,7
ASO,1960,26.52,0.19,8
SON,1960,26.32,0.08,9
OND,1960,26.17,-0.07,10
NDJ,1960,26.16,-0.07,11
DJF,1961,26.34,0.0,0
JFM,1961,26.6,0.03,1
FMA,1961,26.98,0.01,2
MAM,1961,27.33,0.05,3
AMJ,1961,27.62,0.22,4
MJJ,1961,27.41,0.22,5
JJA,1961,26.94,0.08,6
JAS,1961,26.32,-0.2,7
ASO,1961,26.01,-0.32,8
SON,1961,26.02,-0.22,9
OND,1961,26.09,-0.11,10
NDJ,1961,26.14,-0.05,11
DJF,1962,26.16,-0.16,0
JFM,1962,26.4,-0.17,1
FMA,1962,26.83,-0.15,2
MAM,1962,27.09,-0.2,3
AMJ,1962,27.21,-0.19,4
MJJ,1962,27.06,-0.13,5
JJA,1962,26.85,0.0,6
JAS,1962,26.42,-0.1,7
ASO,1962,26.17,-0.16,8
SON,1962,25.98,-0.25,9
OND,1962,25.95,-0.25,10
NDJ,1962,25.87,-0.32,11
DJF,1963,25.98,-0.33,0
JFM,1963,26.4,-0.17,1
FMA,1963,26.99,0.01,2
MAM,1963,27.41,0.13,3
AMJ,1963,27.52,0.12,4
MJJ,1963,27.64,0.45,5
JJA,1963,27.61,0.76,6
JAS,1963,27.61,1.09,7
ASO,1963,27.42,1.09,8
SON,1963,27.37,1.13,9
OND,1963,27.39,1.19,10
NDJ,1963,27.33,1.13,11
DJF,1964,27.26,0.95,0
JFM,1964,27.09,0.52,1
FMA,1964,27.04,0.06,2
MAM,1964,26.93,-0.35,3
AMJ,1964,26.8,-0.6,4
MJJ,1964,26.53,-0.66,5
JJA,1964,26.19,-0.67,6
JAS,1964,25.82,-0.7,7
ASO,1964,25.6,-0.72,8
SON,1964,25.44,-0.8,9
OND,1964,25.41,-0.79,10
NDJ,1964,25.45,-0.75,11
DJF,1965,25.8,-0.51,0
JFM,1965,26.32,-0.25,1
FMA,1965,26.93,-0.04,2
MAM,1965,27.45,0.16,3
AMJ,1965,27.86,0.47,4
MJJ,1965,27.98,0.79,5
JJA,1965,27.95,1.1,6
JAS,1965,27.79,1.27,7
ASO,1965,27.87,1.55,8
SON,1965,27.93,1.7,9
OND,1965,28.02,1.82,10
NDJ,1965,27.83,1.6,11
DJF,1966,27.61,1.24,0
JFM,1966,27.6,0.95,1
FMA,1966,27.79,0.76,2
MAM,1966,27.77,0.43,3
AMJ,1966,27.68,0.24,4
MJJ,1966,27.44,0.18,5
JJA,1966,27.18,0.25,6
JAS,1966,26.73,0.13,7
ASO,1966,26.34,-0.09,8
SON,1966,26.27,-0.12,9
OND,1966,26.17,-0.23,10
NDJ,1966,26.02,-0.35,11
DJF,1967,25.97,-0.46,0
JFM,1967,26.18,-0.48,1
FMA,1967,26.53,-0.5,2
MAM,1967,26.97,-0.37,3
AMJ,1967,27.3,-0.15,4
MJJ,1967,27.31,0.05,5
JJA,1967,26.92,-0.02,6
JAS,1967,26.33,-0.26,7
ASO,1967,26.03,-0.4,8
SON,1967,25.99,-0.4,9
OND,1967,26.03,-0.36,10
NDJ,1967,25.95,-0.42,11
DJF,1968,25.81,-0.62,0
JFM,1968,25.92,-0.73,1
FMA,1968,26.41,-0.63,2
MAM,1968,26.85,-0.48,3
AMJ,1968,27.35,-0.1,4
MJJ,1968,27.43,0.17,5
JJA,1968,27.37,0.44,6
JAS,1968,26.97,0.38,7
ASO,1968,26.78,0.34,8
SON,1968,26.9,0.5,9
OND,1968,27.06,0.66,10
NDJ,1968,27.3,0.93,11
DJF,1969,27.42,0.98,0
JFM,1969,27.63,0.98,1
FMA,1969,27.8,0.77,2
MAM,1969,28.02,0.69,3
AMJ,1969,28.06,0.62,4
MJJ,1969,27.74,0.48,5
JJA,1969,27.3,0.37,6
JAS,1969,27.0,0.41,7
ASO,1969,27.04,0.61,8
SON,1969,27.11,0.71,9
OND,1969,27.21,0.81,10
NDJ,1969,27.08,0.71,11
DJF,1970,26.89,0.46,0
JFM,1970,26.89,0.23,1
FMA,1970,27.27,0.23,2
MAM,1970,27.61,0.28,3
AMJ,1970,27.56,0.11,4
MJJ,1970,27.0,-0.26,5
JJA,1970,26.38,-0.55,6
JAS,1970,25.88,-0.72,7
ASO,1970,25.74,-0.69,8
SON,1970,25.67,-0.72,9
OND,1970,25.61,-0.78,10
NDJ,1970,25.29,-1.1,11
DJF,1971,25.17,-1.29,0
JFM,1971,25.34,-1.36,1
FMA,1971,25.97,-1.08,2
MAM,1971,26.55,-0.81,3
AMJ,1971,26.76,-0.72,4
MJJ,1971,26.62,-0.69,5
JJA,1971,26.3,-0.68,6
JAS,1971,26.05,-0.6,7
ASO,1971,25.81,-0.68,8
SON,1971,25.68,-0.78,9
OND,1971,25.59,-0.86,10
NDJ,1971,25.65,-0.78,11
DJF,1972,25.92,-0.57,0
JFM,1972,26.42,-0.27,1
FMA,1972,27.09,0.04,2
MAM,1972,27.61,0.25,3
AMJ,1972,27.96,0.48,4
MJJ,1972,28.0,0.7,5
JJA,1972,27.98,1.0,6
JAS,1972,27.91,1.26,7
ASO,1972,27.98,1.49,8
SON,1972,28.14,1.69,9
OND,1972,28.3,1.84,10
NDJ,1972,28.2,1.77,11
DJF,1973,28.03,1.55,0
JFM,1973,27.82,1.13,1
FMA,1973,27.61,0.56,2
MAM,1973,27.33,-0.03,3
AMJ,1973,26.97,-0.51,4
MJJ,1973,26.51,-0.8,5
JJA,1973,25.99,-0.99,6
JAS,1973,25.54,-1.11,7
ASO,1973,25.23,-1.26,8
SON,1973,24.87,-1.58,9
OND,1973,24.57,-1.89,10
NDJ,1973,24.39,-2.04,11
DJF,1974,24.61,-1.87,0
JFM,1974,25.1,-1.59,1
FMA,1974,25.82,-1.24,2
MAM,1974,26.37,-0.99,3
AMJ,1974,26.77,-0.71,4
MJJ,1974,26.67,-0.64,5
JJA,1974,26.52,-0.46,6
JAS,1974,26.25,-0.4,7
ASO,1974,26.02,-0.47,8
SON,1974,25.76,-0.69,9
OND,1974,25.57,-0.88,10
NDJ,1974,25.72,-0.71,11
DJF,1975,25.92,-0.56,0
JFM,1975,26.15,-0.55,1
FMA,1975,26.44,-0.61,2
MAM,1975,26.7,-0.66,3
AMJ,1975,26.68,-0.8,4
MJJ,1975,26.39,-0.92,5
JJA,1975,25.9,-1.08,6
JAS,1975,25.54,-1.12,7
ASO,1975,25.2,-1.29,8
SON,1975,25.14,-1.32,9
OND,1975,24.98,-1.47,10
NDJ,1975,24.84,-1.58,11
DJF,1976,24.98,-1.49,0
JFM,1976,25.55,-1.11,1
FMA,1976,26.37,-0.65,2
MAM,1976,26.87,-0.45,3
AMJ,1976,27.21,-0.23,4
MJJ,1976,27.28,0.0,5
JJA,1976,27.21,0.23,6
JAS,1976,27.09,0.4,7
ASO,1976,27.13,0.6,8
SON,1976,27.28,0.79,9
OND,1976,27.28,0.81,10
NDJ,1976,27.28,0.84,11
DJF,1977,27.19,0.71,0
JFM,1977,27.33,0.66,1
FMA,1977,27.35,0.33,2
MAM,1977,27.58,0.26,3
AMJ,1977,27.7,0.26,4
MJJ,1977,27.75,0.46,5
JJA,1977,27.37,0.39,6
JAS,1977,27.04,0.35,7
ASO,1977,26.97,0.45,8
SON,1977,27.17,0.68,9
OND,1977,27.31,0.84,10
NDJ,1977,27.25,0.82,11
DJF,1978,27.18,0.71,0
JFM,1978,27.19,0.52,1
FMA,1978,27.19,0.17,2
MAM,1978,27.26,-0.06,3
AMJ,1978,27.17,-0.28,4
MJJ,1978,27.05,-0.24,5
JJA,1978,26.61,-0.37,6
JAS,1978,26.32,-0.37,7
ASO,1978,26.08,-0.44,8
SON,1978,26.22,-0.27,9
OND,1978,26.4,-0.07,10
NDJ,1978,26.54,0.11,11
DJF,1979,26.67,0.19,0
JFM,1979,26.88,0.21,1
FMA,1979,27.31,0.29,2
MAM,1979,27.64,0.32,3
AMJ,1979,27.73,0.29,4
MJJ,1979,27.43,0.14,5
JJA,1979,27.07,0.09,6
JAS,1979,26.91,0.22,7
ASO,1979,26.86,0.34,8
SON,1979,26.96,0.47,9
OND,1979,26.97,0.5,10
NDJ,1979,27.07,0.64,11
DJF,1980,27.09,0.62,0
JFM,1980,27.14,0.47,1
FMA,1980,27.37,0.35,2
MAM,1980,27.67,0.34,3
