level,unit,season,metric,variant,n,spearman_rho,p
site,fmi_100971,DJF,frost_days,value,77,0.0200,0.8628
site,fmi_100971,DJF,frost_days,anom,77,0.0200,0.8628
site,fmi_100971,DJF,frost_days,anom_dt,77,0.0142,0.9026
site,fmi_100971,DJF,ice_days,value,77,-0.0145,0.9001
site,fmi_100971,DJF,ice_days,anom,77,-0.0145,0.9001
site,fmi_100971,DJF,ice_days,anom_dt,77,-0.0325,0.7793
site,fmi_100971,DJF,precip,value,77,-0.2858,0.0118
site,fmi_100971,DJF,precip,anom,77,-0.2858,0.0118
site,fmi_100971,DJF,precip,anom_dt,77,-0.2843,0.0122
site,fmi_100971,DJF,precip_days,value,77,-0.1246,0.2802
site,fmi_100971,DJF,precip_days,anom,77,-0.1246,0.2802
site,fmi_100971,DJF,precip_days,anom_dt,77,-0.1265,0.2730
site,fmi_100971,DJF,rain_on_snow_days,value,77,-0.0799,0.4897
site,fmi_100971,DJF,rain_on_snow_days,anom,77,-0.0799,0.4897
site,fmi_100971,DJF,rain_on_snow_days,anom_dt,77,-0.0830,0.4729
site,fmi_100971,DJF,snow_cover_days,value,77,-0.0642,0.5791
site,fmi_100971,DJF,snow_cover_days,anom,77,-0.0642,0.5791
site,fmi_100971,DJF,snow_cover_days,anom_dt,77,-0.0550,0.6347
site,fmi_100971,DJF,snow_depth,value,77,-0.0536,0.6437
site,fmi_100971,DJF,snow_depth,anom,77,-0.0536,0.6437
site,fmi_100971,DJF,snow_depth,anom_dt,77,-0.0581,0.6159
site,fmi_100971,DJF,snow_max,value,77,-0.0802,0.4879
site,fmi_100971,DJF,snow_max,anom,77,-0.0802,0.4879
site,fmi_100971,DJF,snow_max,anom_dt,77,-0.0917,0.4274
site,fmi_100971,DJF,thaw_days,value,77,0.0196,0.8657
site,fmi_100971,DJF,thaw_days,anom,77,0.0196,0.8657
site,fmi_100971,DJF,thaw_days,anom_dt,77,0.0254,0.8263
site,fmi_100971,DJF,tmax_mean,value,77,0.0270,0.8158
site,fmi_100971,DJF,tmax_mean,anom,77,0.0270,0.8158
site,fmi_100971,DJF,tmax_mean,anom_dt,77,0.0223,0.8470
site,fmi_100971,DJF,tmean,value,77,0.0135,0.9070
site,fmi_100971,DJF,tmean,anom,77,0.0135,0.9070
site,fmi_100971,DJF,tmean,anom_dt,77,0.0042,0.9712
site,fmi_100971,DJF,tmin_mean,value,77,0.0020,0.9861
site,fmi_100971,DJF,tmin_mean,anom,77,0.0020,0.9861
site,fmi_100971,DJF,tmin_mean,anom_dt,77,-0.0126,0.9136
site,fmi_100971,JFM,frost_days,value,77,-0.0803,0.4876
site,fmi_100971,JFM,frost_days,anom,77,-0.0803,0.4876
site,fmi_100971,JFM,frost_days,anom_dt,77,-0.1218,0.2914
site,fmi_100971,JFM,ice_days,value,77,0.0020,0.9862
site,fmi_100971,JFM,ice_days,anom,77,0.0020,0.9862
site,fmi_100971,JFM,ice_days,anom_dt,77,-0.0281,0.8085
site,fmi_100971,JFM,precip,value,77,-0.0995,0.3894
site,fmi_100971,JFM,precip,anom,77,-0.0995,0.3894
site,fmi_100971,JFM,precip,anom_dt,77,-0.1056,0.3605
site,fmi_100971,JFM,precip_days,value,77,0.0146,0.9000
site,fmi_100971,JFM,precip_days,anom,77,0.0146,0.9000
site,fmi_100971,JFM,precip_days,anom_dt,77,0.0086,0.9408
site,fmi_100971,JFM,rain_on_snow_days,value,77,0.0170,0.8833
site,fmi_100971,JFM,rain_on_snow_days,anom,77,0.0170,0.8833
site,fmi_100971,JFM,rain_on_snow_days,anom_dt,77,0.0220,0.8492
site,fmi_100971,JFM,snow_cover_days,value,77,-0.1034,0.3709
site,fmi_100971,JFM,snow_cover_days,anom,77,-0.1034,0.3709
site,fmi_100971,JFM,snow_cover_days,anom_dt,77,-0.1075,0.3523
site,fmi_100971,JFM,snow_depth,value,77,-0.0872,0.4509
site,fmi_100971,JFM,snow_depth,anom,77,-0.0872,0.4509
site,fmi_100971,JFM,snow_depth,anom_dt,77,-0.0919,0.4266
site,fmi_100971,JFM,snow_max,value,77,-0.0571,0.6218
site,fmi_100971,JFM,snow_max,anom,77,-0.0571,0.6218
site,fmi_100971,JFM,snow_max,anom_dt,77,-0.0819,0.4787
site,fmi_100971,JFM,thaw_days,value,77,-0.0027,0.9812
site,fmi_100971,JFM,thaw_days,anom,77,-0.0027,0.9812
site,fmi_100971,JFM,thaw_days,anom_dt,77,0.0189,0.8707
site,fmi_100971,JFM,tmax_mean,value,77,0.0019,0.9872
site,fmi_100971,JFM,tmax_mean,anom,77,0.0019,0.9872
site,fmi_100971,JFM,tmax_mean,anom_dt,77,0.0133,0.9088
site,fmi_100971,JFM,tmean,value,77,-0.0096,0.9340
site,fmi_100971,JFM,tmean,anom,77,-0.0096,0.9340
site,fmi_100971,JFM,tmean,anom_dt,77,-0.0094,0.9351
site,fmi_100971,JFM,tmin_mean,value,77,-0.0176,0.8790
site,fmi_100971,JFM,tmin_mean,anom,77,-0.0176,0.8790
site,fmi_100971,JFM,tmin_mean,anom_dt,77,-0.0164,0.8873
site,fmi_100971,NDJFM,frost_days,value,77,-0.0368,0.7509
site,fmi_100971,NDJFM,frost_days,anom,77,-0.0368,0.7509
